import time: self [us] | cumulative | imported package
import time:       274 |        274 |   _io
import time:        39 |         39 |   marshal
import time:       343 |        343 |   posix
import time:       599 |       1254 | _frozen_importlib_external
import time:       157 |        157 |   time
import time:       273 |        429 | zipimport
import time:        68 |         68 |     _codecs
import time:       524 |        592 |   codecs
import time:       454 |        454 |   encodings.aliases
import time:       694 |       1739 | encodings
import time:       241 |        241 | encodings.utf_8
import time:       198 |        198 | _signal
import time:       269 |        269 | encodings.latin_1
import time:        57 |         57 |     _abc
import time:       321 |        377 |   abc
import time:       322 |        698 | io
import time:       142 |        142 |       _stat
import time:       308 |        449 |     stat
import time:      1944 |       1944 |     _collections_abc
import time:       272 |        272 |       genericpath
import time:      1141 |       1412 |     posixpath
import time:       713 |       4517 |   os
import time:       195 |        195 |   _sitebuiltins
import time:        80 |         80 |     _locale
import time:       226 |        306 |   _bootlocale
import time:       586 |        586 |   _distutils_hack
import time:        83 |         83 |   sitecustomize
import time:        68 |         68 |   usercustomize
import time:      2117 |       7868 | site
import time:       334 |        334 |       types
import time:      4012 |       4345 |     enum
import time:        82 |         82 |       _sre
import time:      1259 |       1259 |         sre_constants
import time:      1237 |       2496 |       sre_parse
import time:      1365 |       3941 |     sre_compile
import time:       227 |        227 |           _heapq
import time:       414 |        640 |         heapq
import time:       126 |        126 |         itertools
import time:       177 |        177 |         keyword
import time:       129 |        129 |           _operator
import time:       443 |        572 |         operator
import time:       202 |        202 |         reprlib
import time:        90 |         90 |         _collections
import time:      1643 |       3447 |       collections
import time:        55 |         55 |       _functools
import time:       933 |       4434 |     functools
import time:       218 |        218 |     copyreg
import time:      1270 |      14207 |   re
import time:      1055 |       1055 |   gettext
import time:      1277 |      16538 | argparse
import time:       198 |        198 |         token
import time:      1132 |       1329 |       tokenize
import time:       329 |       1658 |     linecache
import time:       424 |       2081 |   traceback
import time:       470 |        470 |   warnings
import time:       282 |        282 |     _weakrefset
import time:       631 |        913 |   weakref
import time:       215 |        215 |   collections.abc
import time:        44 |         44 |     _string
import time:      1117 |       1160 |   string
import time:       914 |        914 |   threading
import time:        68 |         68 |   atexit
import time:      3461 |       9278 | logging
import time:       538 |        538 |     contextlib
import time:       265 |        265 |         errno
import time:      1008 |       1008 |         signal
import time:        62 |         62 |         pwd
import time:       236 |        236 |         grp
import time:        87 |         87 |         msvcrt
import time:       196 |        196 |         _posixsubprocess
import time:       202 |        202 |         select
import time:       229 |        229 |           math
import time:       744 |        973 |         selectors
import time:      1594 |       4620 |       subprocess
import time:      2699 |       7318 |     platform
import time:       263 |        263 |       packaging
import time:       186 |        186 |       __future__
import time:      1937 |       1937 |       typing
import time:       234 |        234 |       packaging._structures
import time:      5612 |       8230 |     packaging.version
import time:       214 |        214 |           importlib
import time:       217 |        217 |               importlib.machinery
import time:       683 |        900 |             importlib.abc
import time:       500 |       1400 |           importlib.util
import time:      1132 |       2745 |         pkgutil
import time:       549 |       3294 |       PyQt5
import time:       378 |        378 |       PyQt5.sip
import time:     11224 |      14895 |     PyQt5.QtCore
import time:        52 |         52 |       PyQt5.QtDataVisualization
import time:       653 |        704 |     qtpy.QtDataVisualization
import time:      1816 |      33499 |   qtpy
import time:       425 |        425 |   qtpy._utils
import time:       680 |      34603 | qtpy.QtCore
import time:     14780 |      14780 |   PyQt5.QtGui
import time:     10727 |      10727 |   PyQt5.QtWidgets
import time:       813 |      26318 | qtpy.QtGui
import time:       640 |        640 | qtpy.QtWidgets
import time:       189 |        189 |       src
import time:       325 |        513 |     src.axolotl
import time:       312 |        825 |   src.axolotl.gui
import time:       165 |        165 |           numpy._utils._convertions
import time:       366 |        530 |         numpy._utils
import time:       492 |       1022 |       numpy._globals
import time:       244 |        244 |       numpy.exceptions
import time:       130 |        130 |       numpy.version
import time:        45 |         45 |         numpy._distributor_init_local
import time:       278 |        322 |       numpy._distributor_init
import time:       160 |        160 |                 numpy._utils._inspect
import time:       304 |        304 |                     _datetime
import time:      2734 |       3038 |                   datetime
import time:       441 |        441 |                   numpy.core._exceptions
import time:       170 |        170 |                   numpy.dtypes
import time:     10110 |      13757 |                 numpy.core._multiarray_umath
import time:      1645 |      15560 |               numpy.core.overrides
import time:       857 |      16417 |             numpy.core.multiarray
import time:       257 |        257 |             numpy.core.umath
import time:       373 |        373 |               numbers
import time:       174 |        174 |               numpy.core._string_helpers
import time:       189 |        189 |                       fnmatch
import time:        87 |         87 |                         nt
import time:        95 |         95 |                         nt
import time:        87 |         87 |                         nt
import time:       181 |        181 |                         nt
import time:      1478 |       1927 |                       ntpath
import time:       176 |        176 |                         urllib
import time:      1436 |       1436 |                         ipaddress
import time:      3673 |       5284 |                       urllib.parse
import time:      3969 |      11368 |                     pathlib
import time:       142 |        142 |                     pickle5
import time:       287 |        287 |                         _struct
import time:      1483 |       1769 |                       struct
import time:       321 |        321 |                       _compat_pickle
import time:       313 |        313 |                       _pickle
import time:        92 |         92 |                           org
import time:       314 |        405 |                         org.python
import time:       162 |        566 |                       org.python.core
import time:      2268 |       5236 |                     pickle
import time:      1471 |      18215 |                   numpy.compat.py3k
import time:       399 |      18614 |                 numpy.compat
import time:       259 |        259 |                 numpy.core._dtype
import time:      1144 |      20017 |               numpy.core._type_aliases
import time:      1576 |      22137 |             numpy.core.numerictypes
import time:      3270 |       3270 |                         _contextvars
import time:       768 |       4038 |                       contextvars
import time:       556 |       4593 |                     numpy.core._ufunc_config
import time:       666 |       5258 |                   numpy.core._methods
import time:      1346 |       6604 |                 numpy.core.fromnumeric
import time:      1378 |       7982 |               numpy.core.shape_base
import time:      1630 |       1630 |               numpy.core.arrayprint
import time:       238 |        238 |               numpy.core._asarray
import time:      3510 |      13358 |             numpy.core.numeric
import time:      1140 |       1140 |             numpy.core.defchararray
import time:       463 |        463 |             numpy.core.records
import time:       264 |        264 |             numpy.core.memmap
import time:       292 |        292 |             numpy.core.function_base
import time:       189 |        189 |             numpy.core._machar
import time:      2964 |       2964 |             numpy.core.getlimits
import time:      1115 |       1115 |             numpy.core.einsumfunc
import time:      1289 |       1289 |               numpy.core._multiarray_tests
import time:      3305 |       4594 |             numpy.core._add_newdocs
import time:       635 |        635 |             numpy.core._add_newdocs_scalars
import time:       198 |        198 |             numpy.core._dtype_ctypes
import time:        88 |         88 |                 _ast
import time:      4743 |       4831 |               ast
import time:       505 |        505 |                 _ctypes
import time:       251 |        251 |                 ctypes._endian
import time:       930 |       1685 |               ctypes
import time:      2826 |       9340 |             numpy.core._internal
import time:       223 |        223 |             numpy._pytesttester
import time:     10493 |      84071 |           numpy.core
import time:        37 |      84108 |         numpy.core._multiarray_umath
import time:       390 |      84497 |       numpy.__config__
import time:       415 |        415 |         numpy.lib.mixins
import time:       154 |        154 |             numpy.lib.ufunclike
import time:       361 |        514 |           numpy.lib.type_check
import time:       327 |        840 |         numpy.lib.scimath
import time:       241 |        241 |                     numpy.lib.stride_tricks
import time:       372 |        613 |                   numpy.lib.twodim_base
import time:       412 |        412 |                   numpy.linalg._umath_linalg
import time:       330 |        330 |                     numpy._typing._nested_sequence
import time:       145 |        145 |                     numpy._typing._nbit
import time:       980 |        980 |                     numpy._typing._char_codes
import time:       350 |        350 |                     numpy._typing._scalars
import time:       311 |        311 |                     numpy._typing._shape
import time:      1489 |       1489 |                     numpy._typing._dtype_like
import time:      1921 |       1921 |                     numpy._typing._array_like
import time:       479 |       6002 |                   numpy._typing
import time:      1466 |       8491 |                 numpy.linalg.linalg
import time:       187 |       8678 |               numpy.linalg
import time:       335 |       9012 |             numpy.matrixlib.defmatrix
import time:       186 |       9197 |           numpy.matrixlib
import time:       269 |        269 |             numpy.lib.histograms
import time:      1198 |       1467 |           numpy.lib.function_base
import time:       488 |      11151 |         numpy.lib.index_tricks
import time:       441 |        441 |         numpy.lib.nanfunctions
import time:       402 |        402 |         numpy.lib.shape_base
import time:       636 |        636 |         numpy.lib.polynomial
import time:      1242 |       1242 |           textwrap
import time:       641 |       1882 |         numpy.lib.utils
import time:       313 |        313 |         numpy.lib.arraysetops
import time:       214 |        214 |           numpy.lib.format
import time:       226 |        226 |           numpy.lib._datasource
import time:       331 |        331 |           numpy.lib._iotools
import time:       627 |       1397 |         numpy.lib.npyio
import time:       158 |        158 |         numpy.lib.arrayterator
import time:       207 |        207 |         numpy.lib.arraypad
import time:       222 |        222 |         numpy.lib._version
import time:       624 |      18681 |       numpy.lib
import time:       201 |        201 |           numpy.fft._pocketfft_internal
import time:       517 |        717 |         numpy.fft._pocketfft
import time:       176 |        176 |         numpy.fft.helper
import time:       213 |       1105 |       numpy.fft
import time:       247 |        247 |           numpy.polynomial.polyutils
import time:       893 |        893 |           numpy.polynomial._polybase
import time:       416 |       1555 |         numpy.polynomial.polynomial
import time:       334 |        334 |         numpy.polynomial.chebyshev
import time:       297 |        297 |         numpy.polynomial.legendre
import time:       265 |        265 |         numpy.polynomial.hermite
import time:       295 |        295 |         numpy.polynomial.hermite_e
import time:       338 |        338 |         numpy.polynomial.laguerre
import time:       248 |       3330 |       numpy.polynomial
import time:        62 |         62 |             gc
import time:        88 |         88 |                 backports_abc
import time:       619 |        707 |               numpy.random._common
import time:       232 |        232 |                   binascii
import time:       253 |        484 |                 base64
import time:      2002 |       2002 |                   _hashlib
import time:       225 |        225 |                     _blake2
import time:       319 |        544 |                   hashlib
import time:       346 |       2892 |                 hmac
import time:       168 |        168 |                     _bisect
import time:       160 |        327 |                   bisect
import time:       175 |        175 |                   _random
import time:       177 |        177 |                   _sha512
import time:       411 |       1088 |                 random
import time:       201 |       4663 |               secrets
import time:       542 |       5911 |             numpy.random.bit_generator
import time:       244 |        244 |             numpy.random._bounded_integers
import time:       238 |        238 |             numpy.random._mt19937
import time:       924 |       7377 |           numpy.random.mtrand
import time:       245 |        245 |           numpy.random._philox
import time:       218 |        218 |           numpy.random._pcg64
import time:       283 |        283 |           numpy.random._sfc64
import time:       626 |        626 |           numpy.random._generator
import time:       338 |       9085 |         numpy.random._pickle
import time:       271 |       9355 |       numpy.random
import time:       433 |        433 |       numpy.ctypeslib
import time:       179 |        179 |                 _opcode
import time:       285 |        463 |               opcode
import time:       450 |        913 |             dis
import time:      1655 |       2567 |           inspect
import time:      2927 |       5494 |         numpy.ma.core
import time:      1174 |       1174 |         numpy.ma.extras
import time:       259 |       6925 |       numpy.ma
import time:      2824 |     128865 |     numpy
import time:       222 |        222 |     pyqtgraph.colors
import time:       308 |        308 |                 zlib
import time:       227 |        227 |                   _compression
import time:       306 |        306 |                   _bz2
import time:       312 |        845 |                 bz2
import time:       281 |        281 |                   _lzma
import time:       270 |        550 |                 lzma
import time:       813 |       2514 |               shutil
import time:       908 |       3422 |             zipfile
import time:       371 |        371 |             tempfile
import time:       197 |       3989 |           importlib._common
import time:       305 |       4294 |         importlib.resources
import time:       206 |        206 |         pyqtgraph.Qt.QtCore
import time:       137 |        137 |         pyqtgraph.Qt.QtGui
import time:       123 |        123 |         pyqtgraph.Qt.QtWidgets
import time:       120 |        120 |         pyqtgraph.Qt.compat
import time:       196 |        196 |           PyQt5.uic.Compiler
import time:       211 |        211 |           PyQt5.uic.Compiler.indenter
import time:       185 |        185 |               PyQt5.uic.exceptions
import time:       194 |        194 |               PyQt5.uic.icon_cache
import time:       131 |        131 |                 PyQt5.uic.port_v3
import time:       180 |        311 |               PyQt5.uic.port_v3.ascii_upper
import time:       558 |       1246 |             PyQt5.uic.properties
import time:       164 |        164 |                   xml
import time:       199 |        362 |                 xml.etree
import time:       620 |        620 |                 xml.etree.ElementPath
import time:        80 |         80 |                         org
import time:        27 |        106 |                       org.python
import time:        20 |        126 |                     org.python.core
import time:       257 |        383 |                   copy
import time:       368 |        368 |                   pyexpat
import time:       317 |       1067 |                 _elementtree
import time:      1550 |       3598 |               xml.etree.ElementTree
import time:       179 |        179 |               PyQt5.uic.objcreator
import time:       393 |       4169 |             PyQt5.uic.uiparser
import time:       156 |        156 |               PyQt5.uic.Compiler.misc
import time:       146 |        146 |                 PyQt5.uic.Compiler.proxy_metaclass
import time:       193 |        339 |               PyQt5.uic.port_v3.proxy_base
import time:       237 |        237 |               PyQt5.uic.port_v3.as_string
import time:      1881 |       2612 |             PyQt5.uic.Compiler.qtproxies
import time:       243 |        243 |             PyQt5.uic.Compiler.qobjectcreator
import time:       234 |       8502 |           PyQt5.uic.Compiler.compiler
import time:       249 |       9157 |         PyQt5.uic
import time:       757 |        757 |         PyQt5.QtSvg
import time:       733 |        733 |         PyQt5.QtTest
import time:       317 |        317 |         pyqtgraph.Qt.internals
import time:      1364 |      17203 |       pyqtgraph.Qt
import time:       188 |      17391 |     pyqtgraph.colors.palette
import time:       690 |        690 |           _decimal
import time:       164 |        854 |         decimal
import time:       223 |        223 |             _lsprof
import time:       334 |        334 |             profile
import time:       236 |        792 |           cProfile
import time:       149 |        149 |           pyqtgraph.util
import time:       159 |        159 |               pyqtgraph.util.colorama
import time:        48 |         48 |               ctypes.windll
import time:       261 |        467 |             pyqtgraph.util.colorama.win32
import time:       174 |        174 |             pyqtgraph.util.colorama.winterm
import time:       291 |        932 |           pyqtgraph.util.cprint
import time:       187 |        187 |           pyqtgraph.util.mutex
import time:       604 |       2663 |         pyqtgraph.debug
import time:       180 |        180 |         pyqtgraph.reload
import time:        94 |         94 |             h5py
import time:       545 |        639 |           pyqtgraph.metaarray.MetaArray
import time:       157 |        795 |         pyqtgraph.metaarray
import time:       141 |        141 |         pyqtgraph.util.cupy_helper
import time:       124 |        124 |         pyqtgraph.util.numba_helper
import time:      1714 |       6467 |       pyqtgraph.functions
import time:       343 |       6810 |     pyqtgraph.colormap
import time:       141 |        141 |       pyqtgraph.graphicsItems
import time:       285 |        426 |     pyqtgraph.graphicsItems.ArrowItem
import time:       174 |        174 |       pyqtgraph.Point
import time:       238 |        238 |               pyqtgraph.GraphicsScene.mouseEvents
import time:      1007 |       1245 |             pyqtgraph.GraphicsScene.GraphicsScene
import time:       168 |       1413 |           pyqtgraph.GraphicsScene
import time:       416 |       1829 |         pyqtgraph.graphicsItems.GraphicsItem
import time:       389 |       2218 |       pyqtgraph.graphicsItems.GraphicsWidget
import time:       458 |       2849 |     pyqtgraph.graphicsItems.AxisItem
import time:       200 |        200 |       pyqtgraph.graphicsItems.GraphicsObject
import time:       261 |        460 |     pyqtgraph.graphicsItems.BarGraphItem
import time:       230 |        230 |     pyqtgraph.graphicsItems.ButtonItem
import time:       214 |        214 |           pyqtgraph.graphicsItems.TextItem
import time:       167 |        167 |               pyqtgraph.graphicsItems.ItemGroup
import time:       931 |        931 |                 pyqtgraph.WidgetGroup
import time:       171 |        171 |                 pyqtgraph.graphicsItems.ViewBox.axisCtrlTemplate_generic
import time:       294 |       1395 |               pyqtgraph.graphicsItems.ViewBox.ViewBoxMenu
import time:       738 |       2299 |             pyqtgraph.graphicsItems.ViewBox.ViewBox
import time:       138 |       2437 |           pyqtgraph.graphicsItems.ViewBox
import time:       391 |       3040 |         pyqtgraph.graphicsItems.InfiniteLine
import time:       269 |       3309 |       pyqtgraph.graphicsItems.LinearRegionItem
import time:       178 |        178 |           pyqtgraph.icons
import time:       139 |        139 |             pyqtgraph.widgets
import time:       240 |        379 |           pyqtgraph.widgets.FileDialog
import time:       150 |        150 |             pyqtgraph.graphicsItems.GraphicsWidgetAnchor
import time:       263 |        412 |           pyqtgraph.graphicsItems.LabelItem
import time:       374 |        374 |               pyqtgraph.graphicsItems.PlotCurveItem
import time:       779 |        779 |               pyqtgraph.graphicsItems.ScatterPlotItem
import time:       539 |       1691 |             pyqtgraph.graphicsItems.PlotDataItem
import time:       318 |       2008 |           pyqtgraph.graphicsItems.LegendItem
import time:       175 |        175 |           pyqtgraph.graphicsItems.PlotItem.plotConfigTemplate_generic
import time:       640 |       3790 |         pyqtgraph.graphicsItems.PlotItem.PlotItem
import time:       164 |       3953 |       pyqtgraph.graphicsItems.PlotItem
import time:       146 |        146 |         pyqtgraph.graphicsItems.GradientPresets
import time:       405 |        550 |       pyqtgraph.widgets.ColorMapMenu
import time:       297 |       8108 |     pyqtgraph.graphicsItems.ColorBarItem
import time:       330 |        330 |     pyqtgraph.graphicsItems.CurvePoint
import time:       305 |        305 |     pyqtgraph.graphicsItems.DateAxisItem
import time:       202 |        202 |     pyqtgraph.graphicsItems.ErrorBarItem
import time:       233 |        233 |     pyqtgraph.graphicsItems.FillBetweenItem
import time:       236 |        236 |           pyqtgraph.ThreadsafeTimer
import time:       195 |        430 |         pyqtgraph.SignalProxy
import time:       334 |        764 |       pyqtgraph.widgets.SpinBox
import time:       546 |       1309 |     pyqtgraph.graphicsItems.GradientEditorItem
import time:       179 |        179 |       pyqtgraph.graphicsItems.UIGraphicsItem
import time:       212 |        391 |     pyqtgraph.graphicsItems.GradientLegend
import time:       227 |        227 |     pyqtgraph.graphicsItems.GraphicsLayout
import time:       195 |        195 |     pyqtgraph.graphicsItems.GraphItem
import time:       214 |        214 |     pyqtgraph.graphicsItems.GridItem
import time:       424 |        424 |     pyqtgraph.graphicsItems.HistogramLUTItem
import time:       173 |        173 |       pyqtgraph.functions_qimage
import time:       438 |        610 |     pyqtgraph.graphicsItems.ImageItem
import time:       197 |        197 |     pyqtgraph.graphicsItems.IsocurveItem
import time:       171 |        171 |     pyqtgraph.graphicsItems.MultiPlotItem
import time:       266 |        266 |     pyqtgraph.graphicsItems.PColorMeshItem
import time:       170 |        170 |             pyqtgraph.Vector
import time:       187 |        357 |           pyqtgraph.Transform3D
import time:       222 |        578 |         pyqtgraph.SRTTransform3D
import time:       270 |        848 |       pyqtgraph.SRTTransform
import time:      1034 |       1881 |     pyqtgraph.graphicsItems.ROI
import time:       217 |        217 |     pyqtgraph.graphicsItems.ScaleBar
import time:       286 |        286 |     pyqtgraph.graphicsItems.TargetItem
import time:       183 |        183 |     pyqtgraph.graphicsItems.VTickGroup
import time:       301 |        301 |           pyqtgraph.widgets.GraphicsView
import time:       184 |        184 |           pyqtgraph.widgets.HistogramLUTWidget
import time:       206 |        206 |           pyqtgraph.widgets.PlotWidget
import time:       216 |        905 |         pyqtgraph.imageview.ImageViewTemplate_generic
import time:        94 |         94 |         bottleneck
import time:       564 |       1563 |       pyqtgraph.imageview.ImageView
import time:       154 |       1717 |     pyqtgraph.imageview
import time:       137 |        137 |     pyqtgraph.widgets.BusyCursor
import time:       166 |        166 |       pyqtgraph.widgets.VerticalLabel
import time:       204 |        370 |     pyqtgraph.widgets.CheckTable
import time:       220 |        220 |     pyqtgraph.widgets.ColorButton
import time:       197 |        197 |             pyqtgraph.parametertree.ParameterItem
import time:       444 |        640 |           pyqtgraph.parametertree.Parameter
import time:       324 |        324 |           pyqtgraph.parametertree.parameterTypes.action
import time:       427 |        427 |             pyqtgraph.parametertree.parameterTypes.basetypes
